"","Price","Address","Updated","Common_Expenses","Floor","Apartments_per_Floor","Number_of_Floors","Property_Type","Zone","Condition","Disposition","Bathrooms","Bedrooms","Built_Square_Meters","Terrace_Square_Meters","Land_Square_Meters","Year_of_Construction","Bedrooms.1","Garages","Floors","Sea_View","Social_Housing","Barbecue","Living_Room","Closet","Patio","Pool","Garage","Pet","Gas_Pipeline","Playroom","Furnished","Duplex","Heating","WiFi","Grill","Gym","Balcony","Storage","Air_Conditioning","Garden","Furnished.1","Radiant_Floor_Heating","Solarium","Furnished.2","Dir_completa","oc_lat","oc_lng","oc_formatted","Municipio","precio_m2"
"1",925,"Avenida Bolivia","2023-10-06",232,0,0,0,"Apartment","Carrasco","Excellent condition","Front",2,3,85,15,85,1991,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Avenida Bolivia Carrasco , Montevideo , Uruguay",-34.8914249,-56.0712456,"Avenida Bolivia, 11500 Montevideo, Uruguay","E",10.8823529411765
"2",4190,"Rambla Ghandi","2023-08-08",645,4,0,0,"Apartment","Punta Carretas","Excellent condition","Front",3,4,200,0,200,2010,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Rambla Ghandi Punta Carretas , Montevideo , Uruguay",-34.92278,-56.15972,"Punta Carretas, Montevideo, Uruguay","CH",20.95
"3",750,"21 de setiembre 2702","2023-09-06",187,3,4,11,"Apartment","Pocitos","Excellent condition","Front",1,2,40,2,40,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21 de setiembre 2702 Pocitos , Montevideo , Uruguay",-34.9167301,-56.1583981,"21 de Setiembre 2702, 2704, 2706, 2704 BIS, 11311 Montevideo, Uruguay","CH",18.75
"4",412,"Bonaparte ","2023-09-20",45,1,0,0,"Apartment","La Blanqueada","Good condition","Front",1,1,35,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bonaparte  La Blanqueada , Montevideo , Uruguay",-34.88737,-56.15359,"La Blanqueada, Montevideo, Uruguay","E",11.7714285714286
"5",395,"Himalaya 2987","2023-09-15",0,0,3,1,"Apartment","Villa Española","Good condition","Interior",1,4,56,56,56,1953,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Himalaya 2987 Villa Española , Montevideo , Uruguay",-34.8694356,-56.1481807,"Himalaya 2987, 12000 Montevideo, Uruguay","D",7.05357142857143
"6",2600,"Av. Brasil 3070","2023-09-01",450,9,2,10,"Apartment","Pocitos","Excellent condition","Front",3,4,195,21,195,0,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,"Av. Brasil 3070 Pocitos , Montevideo , Uruguay",-34.9134353,-56.1501149,"Avenida Brasil 3070, 3072, 11300 Montevideo, Uruguay","CH",13.3333333333333
"7",1075,"Bulevar España esquina Roque Graseras","2023-09-21",425,1,2,10,"Apartment","Pocitos","Excellent condition","Front",3,5,86,16,86,1966,4,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"Bulevar España esquina Roque Graseras Pocitos , Montevideo , Uruguay",-34.90972,-56.15222,"Pocitos, Montevideo, Uruguay","CH",12.5
"8",900,"Brenda 6011","2023-09-05",157,1,4,4,"Apartment","Punta Gorda","Good condition","Front",2,4,73,2,73,1970,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brenda 6011 Punta Gorda , Montevideo , Uruguay",-34.8952941,-56.0755794,"Brenda 6005, 6011, 6015, 6017, 11403 Montevideo, Uruguay","E",12.3287671232877
"9",650,"Victor Haedo 2190","2023-10-04",95,6,0,0,"Apartment","Cordón","Brand new","Front",1,2,50,10,50,2023,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,"Victor Haedo 2190 Cordón , Montevideo , Uruguay",-34.8969678,-56.1700464,"Eduardo Víctor Haedo 2190, 2192, 2190 BIS, 11200 Montevideo, Uruguay","B",13
"10",750,"Fernández Crespo 2081","2023-10-03",175,14,0,0,"Apartment","Cordón","Excellent condition","Front",1,4,75,0,75,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Fernández Crespo 2081 Cordón , Montevideo , Uruguay",-34.8950592,-56.1831468,"Avenida Daniel Fernández Crespo 2075, 2081, 2085, 2099, 11800 Montevideo, Uruguay","B",10
"11",2600,"Barradas","2023-09-27",675,3,0,0,"Apartment","Carrasco","Excellent condition","Front",3,4,0,0,157,2013,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Barradas Carrasco , Montevideo , Uruguay",-34.88528,-56.06056,"Carrasco, Montevideo, Uruguay","E",13.1552438639172
"12",3200,"Avenida de las Américas","2023-09-28",400,1,0,0,"Apartment","Carrasco","Brand new","Front",3,4,0,0,167,2023,3,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"Avenida de las Américas Carrasco , Montevideo , Uruguay",-34.88528,-56.06056,"Carrasco, Montevideo, Uruguay","E",13.1552438639172
"13",2400,"Rambla","2023-08-18",600,6,0,0,"Apartment","Punta Carretas","Excellent condition","Front",3,4,0,0,170,1975,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Rambla Punta Carretas , Montevideo , Uruguay",-34.927353,-56.163643,"Rambla, 11303 Montevideo, Uruguay","CH",13.1552438639172
"14",875,"Gonzalo Ramirez y Ejido","2023-09-22",132,0,0,0,"Apartment","Barrio Sur","Good condition","Not applicable",1,3,55,0,58,2016,2,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gonzalo Ramirez y Ejido Barrio Sur , Montevideo , Uruguay",-34.91219,-56.18876,"Barrio Sur, Montevideo, Uruguay","B",15.9090909090909
"15",500,"Colonia casi Fernandez Crespo","2023-09-22",112,0,0,0,"Apartment","Cordón","Good condition","Back",1,2,49,0,49,1954,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colonia casi Fernandez Crespo Cordón , Montevideo , Uruguay",-34.905,-56.16833,"Cordón, Montevideo, Uruguay","B",10.2040816326531
